Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0875241348219496,0.0013274342507696,0.0474630684459225,0,0,0,3.15295004835025,0.00732952370902921,-5.47577884715481E-07,-7.36488484962941E-06,0.00563296593577528,-3.00885497223968E-07,0.0122350442649522,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0455604268709419,0.00830943309140329,0.00297622851896683,0,0,0,0.0727928435161987,2.20927876796313E-05,-1.64845302056347E-08,-1.5645477317521E-07,1.62632133784213E-05,2.96411876511626E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,fixed,-0.0210436140506678,0.117153640036847,-0.036502747985397,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,2.60208521396521E-18,0,0,0,0.767080911081153,0.00116426102407189,-1.25105048588129E-22,-1.83311841364852E-20,0.000639661580367031,-3.3881317890172E-21,0.000639661580367032,0,0,0,0,0,0,package://lide/meshes/LFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.0191828308457407,-0.00900932874707057,0.0520056318885905,0,0,0,0.0727928435161986,2.20927876796313E-05,-1.64845302056318E-08,1.56454773175213E-07,1.62632133784213E-05,-2.96411876510635E-09,1.80843397531752E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.070073,-0.14353,-0.019216,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,1.0842021724855E-19,0,0,0,0,0.767080911081152,0.00116426102407189,-5.95094015103783E-37,0,0.000639661580367031,-2.21718708608611E-36,0.000639661580367031,0,0,0,0,0,0,package://lide/meshes/RFW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-4.79882522608222E-10,-0.023473389822872,-1.16815018769145E-09,0,0,0,0.0835358720814328,7.729680608963E-05,-8.60478108559215E-13,1.4058669893697E-13,5.13820931926884E-05,-5.06559895917459E-12,7.73952626484253E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,,LBS,fixed,-0.169,0.16275,-0.012562,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LBW,0,-1.22124532708767E-15,0,0,0,0,0.299097213540614,0.000107128427988291,-7.7154576721694E-22,-6.56176679301773E-22,0.000109833959413418,-8.63231614238912E-20,0.000107128427988291,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,revolute,0,-0.055738,0,3.1416,0,1.5708,LBS,0,1,0,0,0,0,0,,,0.001,,,,,
RBS,-4.79882439341495E-10,-0.023473389822872,-1.16815018769145E-09,0,0,0,0.0835358720814331,7.72968060896302E-05,-8.60477997828768E-13,1.40586682345435E-13,5.13820931926884E-05,-5.06559895258427E-12,7.73952626484255E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,,RBS,fixed,-0.169,-0.16275,-0.012562,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBW,0,-5.55111512312578E-16,0,0,0,0,0.299097213540614,0.000107128427988291,2.95715746323546E-22,-7.83770174006311E-22,0.000109833959413418,-8.63398373850403E-20,0.000107128427988291,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,revolute,0,-0.055738,0,0,0,-1.5708,RBS,0,1,0,0,0,0,0,,,0.001,,,,,
fcam,-0.011554,-2.6443E-06,0.0012903,0,0,0,0.043612,2.3571E-05,-1.0184E-09,2.1759E-08,4.2948E-06,-8.8502E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,0.029118,0,0.12982,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
